route_id,mode,proof_of_payment,precent_using_farebox
12,rapid_bus,FALSE,0.925121101
20,rapid_bus,FALSE,0.906375931
33,rapid_bus,FALSE,0.887856291
34,rapid_bus,FALSE,0.971648549
42,rapid_bus,FALSE,0.028215682
78,rapid_bus,FALSE,0.706958335
97,rapid_bus,FALSE,0.972754325
100,rapid_bus,FALSE,0.43613693
144,rapid_bus,FALSE,0.565677868
152,rapid_bus,FALSE,0.225675761
185,rapid_bus,FALSE,0.819372993
342,rapid_bus,FALSE,0.709333846
350,rapid_bus,FALSE,0.801788697
364,rapid_bus,FALSE,0.59923995
383,rapid_bus,FALSE,0.977166257
386,rapid_bus,FALSE,0.326165992
392,rapid_bus,FALSE,0.426993158
405,rapid_bus,FALSE,0.131824975
427,rapid_bus,FALSE,0.715652983
430,rapid_bus,FALSE,0.923043936
471,rapid_bus,FALSE,0.282157918
496,rapid_bus,FALSE,0.91667023
504,rapid_bus,FALSE,0.60535522
540,rapid_bus,FALSE,0.743370282
559,rapid_bus,FALSE,0.813722312
562,rapid_bus,FALSE,0.864073909
563,rapid_bus,FALSE,0.577216499
570,rapid_bus,FALSE,0.595850419
581,rapid_bus,FALSE,0.142427696
584,rapid_bus,FALSE,0.83687916
