fare_id,route_id
default_fare_id,12
default_fare_id,20
default_fare_id,33
default_fare_id,34
default,42
default_fare_id,78
default_fare_id,97
default_fare_id,100
default_fare_id,144
default_fare_id,152
default_fare_id,185
default_fare_id,342
default_fare_id,350
default_fare_id,364
default_fare_id,383
default_fare_id,386
default_fare_id,392
default_fare_id,405
default_fare_id,427
default_fare_id,430
default_fare_id,471
default_fare_id,496
default_fare_id,504
default_fare_id,540
default_fare_id,559
default_fare_id,562
default_fare_id,563
default_fare_id,570
default_fare_id,581
default_fare_id,584
