route_id,mode,proof_of_payment
12,rapid_bus,FALSE
20,rapid_bus,FALSE
33,rapid_bus,FALSE
34,rapid_bus,FALSE
42,rapid_bus,FALSE
78,rapid_bus,FALSE
97,rapid_bus,FALSE
100,rapid_bus,FALSE
144,rapid_bus,FALSE
152,rapid_bus,FALSE
185,rapid_bus,FALSE
342,rapid_bus,FALSE
350,rapid_bus,FALSE
364,rapid_bus,FALSE
383,rapid_bus,FALSE
386,rapid_bus,FALSE
392,rapid_bus,FALSE
405,rapid_bus,FALSE
427,rapid_bus,FALSE
430,rapid_bus,FALSE
471,rapid_bus,FALSE
496,rapid_bus,FALSE
504,rapid_bus,FALSE
540,rapid_bus,FALSE
559,rapid_bus,FALSE
562,rapid_bus,FALSE
563,rapid_bus,FALSE
570,rapid_bus,FALSE
581,rapid_bus,FALSE
584,rapid_bus,FALSE
